Studente,Materia,Voto Finale,Insegnante,Note Speciali
Zargon il Calcolatore,Alchimia Quantistica,A++,Prof. Neutron K,Può levitare durante gli esami
Luna Quasar,Volapük Storico,7 spirali su 8,Dott.ssa Hula-Loop,Parla fluentemente con dinosauri
Fungus 7.3,Micologia da Combattimento,Funghi maturi,Maestro Sporigeno,Miglior coltivatore di spore
Sir Tentacolo,Galassie Applicate,94% con eco cosmico,Cap. Cosmotron,Ha risolto un'equazione galattica
Elettra Prisma,Astrologia Pratica,Segno del Leone,Madame Astrovia,Predice le interrogazioni con l'oroscopo
Ghignus il Disobbediente,Psicomagia dei Cristalli,Cristallo incrinato,Stregone Binario,Ha sabotato il laboratorio mentale
Nina Vortex,Invisibilità Creativa,Invisibile ma brillante,Prof. OcchioFase,Si mimetizza con la lavagna
Bloblo,Canto Telepatico,Alto livello psichico,Zia Blobula,Ha cantato l'intervallo in 4D
Xenon 12,Filosofia dei Buchi Neri,13.7 su scala gravitazionale,Entità Zed,Ha discusso col tempo
Mira Luminis,Biomeccanica del Teletrasporto,Quasi materia,Prof.ssa Warpna,Si è teletrasportata via dall'esame
